"","Temp","kappa","lifetime_R","Max_size"
"1",11.85,0.25,0,109.468035948756
"2",11.85,0.5,0,173
"3",11.85,1,0,224
"4",11.85,2,0,289.063574680036
"5",11.85,5,0,390.35795924803
"6",16.85,0.25,0,101.459265084113
"7",16.85,0.5,0,159
"8",16.85,1,0,222.022970927383
"9",16.85,2,0,289.039422950215
"10",16.85,5,0,384.304581269753
"11",21.85,0.25,0,98.3716019496782
"12",21.85,0.5,0,159
"13",21.85,1,0,214
"14",21.85,2,0,282.019125548899
"15",21.85,5,0,380.31633537204
"16",26.85,0.25,0,92.422177489406
"17",26.85,0.5,0,151
"18",26.85,1,0,202.041686463511
"19",26.85,2,0,274.007716322312
"20",26.85,5,0,373.424087622947
