"","kappa","Max_length","env","repro_inkg"
"1",0.25,101.459265084113,"Constant",2.08343169301757
"2",0.5,159,"Constant",5.90038693052362
"3",1,222.022970927383,"Constant",15.2032364334249
"4",2,289.039422950215,"Constant",37.9658703618695
"5",0.625,210.2659015004,"Seasonality - K only",5.26118426409481
"6",1.25,275.163043783568,"Seasonality - K only",13.7415708406507
"7",2.5,347.403720491435,"Seasonality - K only",35.0310923666829
"8",5,400.38117896189,"Seasonality - K only",85.25686649498
"9",0.25,150,"Seasonality - T only",1.41663863140572
"10",0.5,194.029530342139,"Seasonality - T only",3.75623616746824
"11",1,245.105305924709,"Seasonality - T only",10.2958280374435
"12",2,318.172393792435,"Seasonality - T only",26.2928889617007
"13",0.625,207.216358788882,"Seasonality",5.10726529696726
"14",1.25,267.261132272265,"Seasonality",13.6771712124563
"15",2.5,347.232400394141,"Seasonality",34.2654651675962
"16",5,399.088591857608,"Seasonality",83.8994659699283
